passer_player_name,season,MVP,posteam,wins,losses,pct,tot_rushing_yards,tot_rushing_tds,tot_games_played,avg_air_epa,epa_play,avg_wpa,tot_completions,tot_attempts,tot_passing_yards,tot_passing_tds,tot_ints,avg_cpoe,passing_yard_rank,cpoe_rank,avg_wpa_rank,epa_rank,passing_td_rank,completion_percentage,comp_percentage_rank,passing_epa_rank,tot_yards,tot_tds,tot_yard_rank,tot_td_rank,played_ten_games,win_rank
D.McNabb,2003,0,PHI,12,4,0.75,355,3,16,NA,-0.0141039606119223,NA,275,522,3216,16,11,NA,13,16,14,18,15,0.526819923371648,29,14,3571,19,10,14.5,1,4.5
J.Blake,2003,0,ARI,4,12,0.25,177,2,13,NA,-0.218121392989274,NA,208,388,2247,13,15,NA,21,17,15,37,20,0.536082474226804,27,15,2424,15,21,19,1,37
J.Delhomme,2003,0,CAR,11,5,0.6875,39,1,16,NA,-0.00706722631800055,NA,266,473,3219,19,16,NA,12,18,16,17,12,0.562367864693446,15,16,3258,20,14,13,1,7
J.Fiedler,2003,0,MIA,10,6,0.625,88,3,12,NA,-0.0639711218236937,NA,179,334,2138,11,13,NA,24,19,17,23,26,0.535928143712575,28,17,2226,14,23,21,1,11
J.Garcia,2003,0,SF,7,9,0.4375,319,7,13,NA,0.0469479952076789,NA,225,415,2704,18,13,NA,18,20,18,13,13,0.542168674698795,21,18,3023,25,16,11,1,19.5
J.Harrington,2003,0,DET,5,11,0.3125,86,0,13,NA,-0.180558109653651,NA,260,484,2428,13,20,NA,20,21,19,35,21,0.537190082644628,25,19,2514,13,20,23,1,29.5
J.Kitna,2003,0,CIN,8,8,0.5,113,0,16,NA,0.0864362217771219,NA,324,557,3591,26,15,NA,7,22,20,8,4,0.581687612208258,11,20,3704,26,8,8,1,16.5
J.McCown,2003,0,ARI,4,12,0.25,158,1,8,NA,-0.112146025752746,NA,95,192,1018,5,6,NA,36,23,21,31,35,0.494791666666667,35,21,1176,6,35,34.5,0,37
J.Plummer,2003,0,DEN,10,6,0.625,183,3,10,NA,0.153125431986162,NA,169,278,1962,14,7,NA,27,24,22,4,17,0.607913669064748,4,22,2145,17,27,16,1,11
K. Holcomb,2003,0,CLE,5,11,0.3125,0,0,5,NA,-0.10326077244783,NA,105,166,1041,5,6,NA,35,25,23,29,36,0.632530120481928,2,23,1041,5,37,37,0,29.5
K.Boller,2003,0,BAL,10,6,0.625,62,0,10,NA,-0.149700904445085,NA,116,246,1260,7,9,NA,32,26,24,33,31,0.471544715447154,38,24,1322,7,31,32.5,1,11
K.Collins,2003,0,NYG,4,12,0.25,49,0,13,NA,-0.0724466818700039,NA,284,529,3110,13,16,NA,15,27,25,25,22,0.536862003780718,26,25,3159,13,15,23,1,37
K.Holcomb,2003,0,CLE,5,11,0.3125,7,0,5,NA,-0.0560600816714042,NA,88,158,756,5,6,NA,40,28,26,22,37,0.556962025316456,16,26,763,5,40,37,0,29.5
K.Stewart,2003,0,CHI,7,9,0.4375,288,3,8,NA,-0.286753360367905,NA,121,261,1332,7,10,NA,30,29,27,39,32,0.46360153256705,39,27,1620,10,29,29,0,19.5
M.Bulger,2003,0,LA,12,4,0.75,75,4,15,NA,0.0537903450549933,NA,336,569,3845,22,22,NA,3,30,28,10,11,0.590509666080844,10,28,3920,26,4,8,1,4.5
M.Hasselbeck,2003,0,SEA,10,6,0.625,125,2,16,NA,0.121303091456268,NA,313,555,3841,26,15,NA,4,31,29,5,5,0.563963963963964,14,29,3966,28,3,4.5,1,11
P.Ramsey,2003,0,WAS,5,11,0.3125,62,1,11,NA,-0.0686823096272681,NA,179,370,2166,14,9,NA,22,32,31,24,18,0.483783783783784,36,31,2228,15,22,19,1,29.5
Q.Carter,2003,0,DAL,10,6,0.625,257,2,16,NA,-0.0897484891212113,NA,292,542,3302,17,21,NA,11,33,32,28,14,0.538745387453875,22,32,3559,19,11,14.5,1,11
R. Mirer,2003,0,LV,4,12,0.25,77,1,6,NA,-0.304697226721368,NA,74,172,761,2,3,NA,39,34,33,40,40,0.430232558139535,40,33,838,3,39,39.5,0,37
R.Gannon,2003,0,LV,4,12,0.25,18,0,7,NA,-0.106187523107403,NA,125,242,1274,6,4,NA,31,35,34,30,34,0.516528925619835,33,34,1292,6,32,34.5,0,37
T. Green,2003,0,KC,13,3,0.8125,83,2,16,NA,0.168739301836487,NA,330,546,4039,24,12,NA,2,36,36,3,9,0.604395604395604,5,36,4122,26,2,8,1,2
T. Maddox,2003,0,PIT,6,10,0.375,13,0,12,NA,-0.0527689377727123,NA,236,439,2749,12,14,NA,17,37,37,19,23,0.537585421412301,24,37,2762,12,18,25,1,23.5
T.Brady,2003,0,NE,14,2,0.875,63,1,16,NA,0.0491163853249746,NA,317,559,3620,23,12,NA,6,38,38,12,10,0.567084078711986,13,38,3683,24,9,12,1,1
T.Hasselbeck,2003,0,WAS,5,11,0.3125,41,0,7,NA,-0.153393321473881,NA,95,186,1012,5,7,NA,37,39,39,34,38,0.510752688172043,34,39,1053,5,36,37,0,29.5
V.Testaverde,2003,0,NYJ,6,10,0.375,17,0,7,NA,-0.00560650516798478,NA,123,205,1385,7,2,NA,29,40,40,16,33,0.6,6,40,1402,7,30,32.5,0,23.5
P.Manning,2004,1,IND,12,4,0.75,38,0,16,NA,0.409703160881715,NA,336,510,4557,49,10,NA,3,1,32,1,1,0.658823529411765,1,32,4595,49,3,1,1,4.5
